食物,热量,连接
Easy Fun 紫薯营养粥,热量：317 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/fdd9b123
白粥，又叫白粥（粳米），稀饭，大米粥，白米粥，米粥，大米汤汤,热量：46 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/jingmizhou
稀饭，又叫白粥（籼米），大米粥，白米粥,热量：59 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/xianmizhou
玉米（鲜），又叫苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷,热量：112 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/yumi_xian
燕麦片，又叫燕麦,热量：338 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/yanmaipian
面条（生），又叫面,热量：301 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/miantiao_junzhi
面条（煮），又叫面,热量：110 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/miantiao_fuqiangfen_zhu
籼米粉，又叫米线、米粉、粉,热量：356 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/xianmifen
面包,热量：313 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/mianbao_junzhi
红薯，又叫地瓜、番薯、甘薯,热量：90 大卡(每100克),http://www.boohee.com/food/group/1?page=1/shiwu/ganshu_hongxin
小米粥,热量：46 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/xiaomizhou
马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯,热量：81 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/malingshu
包子（猪肉馅）,热量：227 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/baozi_zhurouxian
米饭，又叫大米饭，饭，蒸米,热量：116 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/mifan_zheng
白薯，又叫山芋、红皮山芋，地瓜、甘薯,热量：106 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/ganshu_baixin
大米，又叫稻米、米、生米,热量：346 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/daomi_junzhi
全麦面包，又叫全麦面包、全麦吐司、全麦面包片,热量：246 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/maipeimianbao
烙饼,热量：259 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/laobing_biaozhunfen
花卷,热量：214 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/huajuan
油条,热量：388 大卡(每100克),http://www.boohee.com/food/group/1?page=2/shiwu/youtiao
鸡蛋，又叫鸡子、鸡卵、蛋,热量：144 大卡(每100克),http://www.boohee.com/food/group/2?page=1/shiwu/jidan_junzhi
猪小排，又叫排骨、猪排,热量：278 大卡(每100克),http://www.boohee.com/food/group/2?page=1/shiwu/zhuxiaopai
鸡（土鸡，家养),热量：124 大卡(每100克),http://www.boohee.com/food/group/2?page=1/shiwu/ji_tuji_jiayang
鸡（母鸡，一年内）,热量：256 大卡(每100克),http://www.boohee.com/food/group/2?page=1/shiwu/muji_yiniannei
鸡（肉鸡，肥）,热量：389 大卡(每100克),http://www.boohee.com/food/group/2?page=1/shiwu/rouji_fei
